"","group","symbol","p_value","method","log2FC","q_value"
"1","PEA_AMS4k_AMS1k","GFRA2","4.10149769368506e-06","t_test; var equal=TRUE","0.2312",0.00260072997100772
"2","PEA_AMS4k_AMS1k","FGF23","6.08897750751339e-06","t_test; var equal=FALSE","1.4019",0.00260072997100772
"3","PEA_AMS4k_AMS1k","RET","8.79615548255149e-06","t_test; var equal=TRUE","0.6901",0.00260072997100772
"4","PEA_AMS4k_AMS1k","CCL2","1.86858596600081e-05","t_test; var equal=TRUE","-0.7087",0.0041435893796068
"5","PEA_AMS4k_AMS1k","CLSTN1","2.35916952020583e-05","t_test; var equal=TRUE","0.4072",0.00418516672884514
"6","PEA_AMS4k_AMS1k","SCARA5","3.31228962410592e-05","t_test; var equal=TRUE","0.3923",0.00489666816096992
"7","PEA_AMS4k_AMS1k","PROK1","4.24895361329412e-05","t_test; var equal=TRUE","0.8096",0.00538403122141698
"8","PEA_AMS4k_AMS1k","THBD","4.89298692878199e-05","t_test; var equal=TRUE","0.3768",0.00542509925728703
"9","PEA_AMS4k_AMS1k","MATN3","7.6062415886482e-05","t_test; var equal=TRUE","0.4638",0.00749637365458995
"10","PEA_AMS4k_AMS1k","GDF15","0.000101431282007591","t_test; var equal=TRUE","0.2298",0.00793675539649894
"11","PEA_AMS4k_AMS1k","MYOC","0.00010359487357035","t_test; var equal=TRUE","-0.6373",0.00793675539649894
"12","PEA_AMS4k_AMS1k","NRP2","0.000107374368385555","t_test; var equal=TRUE","0.1817",0.00793675539649894
"13","PEA_AMS4k_AMS1k","FCN2","0.00051646780674069","t_test; var equal=TRUE","0.3442",0.0184465356121485
"14","PEA_AMS4k_AMS1k","ASGR1","0.000191104373464912","t_test; var equal=TRUE","0.3859",0.0126153209553668
"15","PEA_AMS4k_AMS1k","SPOCK1","0.00019911442319632","t_test; var equal=TRUE","0.5722",0.0126153209553668
"16","PEA_AMS4k_AMS1k","SCGB3A1","0.000272920786054237","t_test; var equal=TRUE","0.3476",0.0157480922042855
"17","PEA_AMS4k_AMS1k","REN","0.000310193062079767","t_test; var equal=TRUE","0.7433",0.0157480922042855
"18","PEA_AMS4k_AMS1k","SELE","0.000334081016868897","t_test; var equal=TRUE","0.3253",0.0157480922042855
"19","PEA_AMS4k_AMS1k","PFKM","0.000305313951319759","t_test; var equal=TRUE","-0.7639",0.0157480922042855
"20","PEA_AMS4k_AMS1k","INHBC","0.00035500667699927","t_test; var equal=TRUE","0.5178",0.0157480922042855
"21","PEA_AMS4k_AMS1k","CD99L2","0.000367686918395824","t_test; var equal=TRUE","0.2587",0.0157480922042855
"22","PEA_AMS4k_AMS1k","WFIKKN1","0.000372840965377672","t_test; var equal=TRUE","0.2865",0.0157480922042855
"23","PEA_AMS4k_AMS1k","CA1","0.000912845292584158","t_test; var equal=TRUE","-0.9456",0.0289176348043624
"24","PEA_AMS4k_AMS1k","PAPPA","0.00045086066174153","t_test; var equal=TRUE","0.5355",0.0173875394332494
"25","PEA_AMS4k_AMS1k","CA2","0.000444181336107454","t_test; var equal=TRUE","-1.1483",0.0173875394332494
"26","PEA_AMS4k_AMS1k","IL27","0.00051991363055661","t_test; var equal=TRUE","0.3857",0.0184465356121485
"27","PEA_AMS4k_AMS1k","GPNMB","0.000560749602559073","t_test; var equal=TRUE","0.1435",0.0191301883642268
"28","PEA_AMS4k_AMS1k","ISLR2","0.000628182362817462","t_test; var equal=TRUE","0.3072",0.0206369539192255
"29","PEA_AMS4k_AMS1k","TCN2","0.0013534565151605","t_test; var equal=TRUE","0.3054",0.0350501500767666
"30","PEA_AMS4k_AMS1k","ANG","0.0017416286284137","t_test; var equal=TRUE","0.3198",0.0376786486195842
"31","PEA_AMS4k_AMS1k","ANGPTL4","0.00108694724470477","t_test; var equal=TRUE","0.7773",0.0311007163242945
"32","PEA_AMS4k_AMS1k","S100A12","0.00108044012393446","t_test; var equal=TRUE","-0.4724",0.0311007163242945
"33","PEA_AMS4k_AMS1k","SPARC","0.00108504796936494","t_test; var equal=FALSE","0.1738",0.0311007163242945
"34","PEA_AMS4k_AMS1k","STC1","0.00114126408110169","t_test; var equal=TRUE","0.4489",0.0316344137480375
"35","PEA_AMS4k_AMS1k","TFF3","0.0013098785338344","t_test; var equal=TRUE","0.2517",0.0350501500767666
