UniprotID,symbol,BL1,BL2,BL3,BL4,BL5,BL6,BL7,BL8,BL9,BL10,AMS1,AMS2,AMS3,AMS4,AMS5,AMS6,AMS7,AMS8,AMS9,AMS10
O00451,GFRA2,2.78756,2.65167,2.64905,2.885,2.55794,2.86092,2.77104,2.91912,2.78373,2.70237,2.92958,2.8414,3.02858,3.17153,2.74117,3.11705,3.04464,3.05188,3.00141,2.95303
Q9GZV9,FGF23,3.16071,2.82458,3.00247,2.83668,2.67259,3.31133,2.82682,2.97755,2.75206,2.8013,4.53234,4.77562,3.70321,4.152,3.65196,5.43244,3.92624,4.77832,4.44894,3.78369
P07949,RET,6.1187,5.24306,5.11316,5.82131,5.5974,5.58679,6.02973,6.23468,5.21209,5.64261,6.39508,5.90293,5.95457,6.68624,6.45176,6.40221,6.2611,7.15411,5.92322,6.36944
P13500,CCL2,4.55473,4.009,3.72747,5.1363,5.02251,4.05745,4.06572,4.63057,4.41179,4.2896,3.96973,3.70793,3.32809,4.24624,3.78176,3.34525,3.5421,3.80053,3.51616,3.58033
O94985,CLSTN1,1.13043,1.15213,1.28765,0.74749,0.74749,0.74749,1.08357,1.30647,1.08317,1.55989,1.292,1.67374,1.58708,1.32883,1.27731,1.32903,1.4409,1.56041,1.31814,2.11019
Q6ZMJ2,SCARA5,8.49385,8.13616,8.04174,8.07553,8.25731,7.7254,8.53207,8.44887,7.82999,8.37606,8.60518,8.64247,8.46663,8.68183,8.45513,8.30689,8.80756,8.85589,8.3168,8.7021
P58294,PROK1,3.92457,3.1921,3.53492,3.27059,4.12787,3.60384,3.07966,3.25787,3.48687,2.80402,4.41438,4.40408,4.6569,4.27429,4.5765,4.50148,3.90355,4.31265,3.60653,3.72809
P07204,THBD,9.72133,9.26491,9.56626,9.18484,9.51155,9.48588,9.243,9.73215,9.44389,9.43503,9.93288,9.71811,10.01965,9.80971,9.91706,9.88172,9.50522,10.19095,9.48188,9.89953
O15232,MATN3,9.58653,8.89322,8.61054,8.53791,9.05131,8.21358,8.98132,9.23461,8.97799,9.68499,9.78154,9.67213,9.08693,9.17518,9.40796,8.97517,9.4224,9.73759,9.30636,9.84512
Q99988,GDF15,3.84999,4.02748,3.90482,3.36315,3.92368,4.04705,3.86528,3.80058,3.4471,3.89792,3.97572,4.31195,4.06433,3.62341,4.37046,4.21759,4.18463,3.94598,3.53619,4.19496
